feature,consensus_score,rank,selected
service,3.5468694511774737,1,True
rate_per_pkt,3.5468694511774737,2,True
load_per_pkt,3.5468694511774737,3,True
ttl_diff,3.5468694511774737,4,True
ct_srv_dst,3.5468694511774737,5,True
mean_pkt_dst,3.5468694511774737,6,True
swin,3.5468694511774737,7,True
ct_srv_src,3.5468694511774737,8,True
dmean,3.5468694511774737,9,True
ct_src_dport_ltm,3.5468694511774737,10,True
ct_dst_sport_ltm,3.5468694511774737,11,True
dload,3.5468694511774737,12,True
sttl,3.5468694511774737,13,True
rate,3.5468694511774737,14,True
sload,3.2598950970165905,15,True
dtcpb,2.967870375102778,16,True
dinpkt,2.6859463886948247,17,True
sinpkt,2.6859463886948247,18,True
sjit,2.6859463886948247,19,True
dloss,2.6859463886948247,20,True
smean,2.6859463886948247,21,True
djit,2.6859463886948247,22,True
bytes_per_pkt_total,2.6859463886948247,23,True
mean_pkt_src,2.6859463886948247,24,True
proto,2.6859463886948247,25,True
sloss,2.6859463886948247,26,True
sbytes,2.6859463886948247,27,True
spkts,2.6859463886948247,28,True
dpkts,2.6859463886948247,29,True
dttl,2.6859463886948247,30,True
dbytes,2.6859463886948247,31,True
stcpb,2.6783708370654304,32,True
ct_dst_src_ltm,2.6439858859250207,33,True
ct_dst_ltm,2.6439858859250207,34,True
state,2.632305241847145,35,True
pkt_size_asym,2.632305241847145,36,True
jit_ratio,2.632305241847145,37,False
inter_pkt_ratio,2.632305241847145,38,False
win_ratio,2.632305241847145,39,False
tcp_setup_ratio,2.632305241847145,40,False
src_loss_rate,2.632305241847145,41,False
loss_rate,2.632305241847145,42,False
pkt_ratio,2.632305241847145,43,False
tcprtt,2.632305241847145,44,False
ct_state_ttl,2.632305241847145,45,False
synack,2.632305241847145,46,False
byte_ratio,2.632305241847145,47,False
load_ratio,2.632305241847145,48,False
ct_src_ltm,2.3544863478876734,49,False
ackdat,2.0583565335253793,50,False
dst_loss_rate,2.0533061657724496,51,False
dur,1.7713821793644962,52,False
dwin,1.7638066277351019,53,False
response_body_len,1.4935632854050247,54,False
is_sm_ips_ports,0.0,55,False
is_ftp_login,0.0,56,False
ct_ftp_cmd,0.0,57,False
ct_flw_http_mthd,0.0,58,False
trans_depth,0.0,59,False
