fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_attack,precision_attack,f1_attack
0,p_weighted,0.978121,0.978332,0.978319,0.057345,0.016582,0.002096,,0.982325,0.969823,0.976034,0.97505,0.985419,0.980207
0,p_stack,0.978052,0.978261,0.978247,0.068085,0.017677,0.005906,,0.983623,0.968468,0.975986,0.973858,0.986458,0.980118
0,p_final,0.978342,0.978551,0.978538,0.062168,0.017097,0.006931,,0.982893,0.969762,0.976283,0.974983,0.98588,0.980401
0,base_random_forest,0.97555,0.975784,0.975769,0.068749,0.019152,0.011325,,0.980298,0.966275,0.973236,0.972071,0.983725,0.977864
0,cal_random_forest,0.97555,0.975784,0.975769,0.065043,0.01858,0.002697,,0.980298,0.966275,0.973236,0.972071,0.983725,0.977864
0,base_extra_trees,0.977977,0.978188,0.978174,0.060935,0.017251,0.007917,,0.983217,0.968688,0.975898,0.974057,0.986131,0.980057
0,cal_extra_trees,0.977616,0.977827,0.977809,0.058967,0.016887,0.003034,,0.984514,0.966722,0.975537,0.972336,0.987167,0.979695
0,base_xgboost,0.975922,0.97615,0.976133,0.061919,0.017754,0.003189,,0.981839,0.965633,0.973668,0.971476,0.984969,0.978176
0,cal_xgboost,0.976093,0.976326,0.976315,0.061897,0.017748,0.002464,,0.978839,0.968785,0.973786,0.974255,0.982579,0.9784
0,base_knn,0.953957,0.954363,0.954307,0.382646,0.033575,0.011712,,0.964651,0.935672,0.94994,0.945864,0.970397,0.957973
0,cal_knn,0.953718,0.954093,0.954015,0.120607,0.03344,0.003359,,0.972191,0.928815,0.950008,0.939179,0.9764,0.957428
1,p_weighted,0.981748,0.981931,0.981927,0.049941,0.013749,0.004842,,0.982486,0.977414,0.979943,0.98147,0.985645,0.983553
1,p_stack,0.981386,0.981569,0.981562,0.056985,0.014365,0.003932,,0.983783,0.9754,0.979574,0.97975,0.986671,0.983198
1,p_final,0.981566,0.98175,0.981745,0.0521,0.01398,0.003068,,0.982729,0.976789,0.97975,0.980941,0.985834,0.983381
1,base_random_forest,0.976957,0.977192,0.97719,0.067578,0.018673,0.017433,,0.975432,0.973853,0.974641,0.978625,0.979922,0.979273
1,cal_random_forest,0.976733,0.976971,0.976971,0.060975,0.017242,0.002585,,0.974459,0.974301,0.97438,0.979022,0.979151,0.979087
1,base_extra_trees,0.980419,0.980617,0.980615,0.063581,0.015572,0.008469,,0.979648,0.977271,0.978458,0.981404,0.983357,0.982379
1,cal_extra_trees,0.980286,0.980478,0.980469,0.054495,0.015079,0.001462,,0.983621,0.973205,0.978385,0.977897,0.986514,0.982187
1,base_xgboost,0.981306,0.981493,0.98149,0.055013,0.014383,0.007242,,0.981756,0.977161,0.979453,0.981272,0.985053,0.983159
1,cal_xgboost,0.981375,0.981564,0.981562,0.051515,0.014152,0.003618,,0.980621,0.9784,0.979509,0.982331,0.984154,0.983242
1,base_knn,0.951876,0.952315,0.952266,0.208955,0.03452,0.007088,,0.959296,0.936071,0.947541,0.946529,0.966093,0.956211
1,cal_knn,0.951989,0.952445,0.952412,0.11595,0.03428,0.002369,,0.955161,0.939919,0.947478,0.950169,0.962913,0.956499
2,p_weighted,0.981172,0.981354,0.981344,0.052668,0.014604,0.003347,,0.985648,0.973181,0.979375,0.977831,0.988163,0.98297
2,p_stack,0.980514,0.9807,0.980688,0.060353,0.015366,0.00456,,0.985892,0.971554,0.97867,0.976441,0.988345,0.982357
2,p_final,0.981027,0.981209,0.981198,0.055086,0.014901,0.00543,,0.985973,0.972567,0.979224,0.977301,0.988421,0.98283
2,base_random_forest,0.976171,0.976401,0.976388,0.072521,0.019366,0.0181,,0.980135,0.967737,0.973896,0.973331,0.983615,0.978446
2,cal_random_forest,0.976147,0.976371,0.976352,0.063142,0.017764,0.00243,,0.983297,0.964757,0.973939,0.970684,0.98615,0.978356
2,base_extra_trees,0.979339,0.979536,0.979522,0.06191,0.016667,0.013815,,0.985081,0.969825,0.977393,0.974985,0.987665,0.981284
2,cal_extra_trees,0.979988,0.980185,0.980178,0.061087,0.015784,0.003988,,0.982162,0.973949,0.978038,0.978559,0.98534,0.981938
2,base_xgboost,0.980916,0.9811,0.981089,0.056194,0.014959,0.006447,,0.985648,0.972636,0.979099,0.977367,0.988157,0.982733
2,cal_xgboost,0.980041,0.980229,0.980214,0.052892,0.014755,0.002792,,0.987027,0.969497,0.978183,0.974654,0.989253,0.981899
2,base_knn,0.947011,0.947461,0.947384,0.211551,0.036431,0.007453,,0.960756,0.925053,0.942566,0.93647,0.966929,0.951456
2,cal_knn,0.947393,0.947853,0.947785,0.120091,0.036299,0.003883,,0.958566,0.927652,0.942856,0.938985,0.965238,0.95193
