,accuracy,accuracy,brier_score,brier_score,ece,ece,f1_attack,f1_attack,f1_normal,f1_normal,log_loss,log_loss,macro_f1,macro_f1,precision_attack,precision_attack,precision_normal,precision_normal,recall_attack,recall_attack,recall_normal,recall_normal,roc_auc_macro_ovr,roc_auc_macro_ovr,weighted_f1,weighted_f1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,,,,,,,,,,,,,,,,,,,
base_extra_trees,0.979437,0.001223,0.016497,0.000852,0.010067,0.003258,0.98124,0.001162,0.97725,0.001286,0.062142,0.001338,0.979245,0.001224,0.985718,0.002184,0.971928,0.004662,0.976815,0.004001,0.982649,0.002761,,,0.979447,0.001217
base_knn,0.951319,0.003557,0.034842,0.001455,0.008751,0.002571,0.955213,0.003371,0.946682,0.003761,0.267717,0.09954,0.950948,0.003565,0.967806,0.002282,0.932265,0.006249,0.942954,0.005625,0.961568,0.002768,,,0.95138,0.003545
base_random_forest,0.976449,0.000712,0.019064,0.000355,0.015619,0.003734,0.978528,0.000708,0.973924,0.000703,0.069616,0.002583,0.976226,0.000705,0.982421,0.002165,0.969288,0.00402,0.974676,0.003478,0.978622,0.002764,,,0.976459,0.000706
base_xgboost,0.979571,0.002984,0.015699,0.001803,0.005626,0.002148,0.981356,0.002762,0.977407,0.003243,0.057709,0.003694,0.979381,0.003002,0.98606,0.001817,0.97181,0.005808,0.976705,0.004931,0.983081,0.002223,,,0.979581,0.002978
cal_extra_trees,0.979485,0.001459,0.015917,0.000911,0.002828,0.001276,0.981273,0.001373,0.97732,0.001554,0.058183,0.003365,0.979297,0.001463,0.98634,0.000926,0.971292,0.003975,0.976264,0.003418,0.983432,0.001187,,,0.979497,0.001453
cal_knn,0.951404,0.003235,0.034673,0.001469,0.003204,0.000769,0.955286,0.002943,0.946781,0.003627,0.118883,0.002553,0.951033,0.003269,0.968184,0.00721,0.932129,0.006772,0.942778,0.006402,0.961973,0.009012,,,0.951464,0.003234
cal_random_forest,0.976364,0.000601,0.017862,0.000674,0.002571,0.000134,0.978436,0.000615,0.973852,0.000577,0.063053,0.002035,0.976143,0.000592,0.983009,0.003554,0.968444,0.005128,0.973926,0.004468,0.979351,0.004494,,,0.976375,0.000594
cal_xgboost,0.979364,0.002725,0.015552,0.001926,0.002958,0.000595,0.98118,0.0025,0.977159,0.002996,0.055435,0.005639,0.97917,0.002747,0.985329,0.003489,0.972227,0.005358,0.97708,0.004552,0.982162,0.004306,,,0.979373,0.002722
p_final,0.980494,0.001716,0.015326,0.001601,0.005143,0.001947,0.982204,0.001586,0.978419,0.001868,0.056451,0.005171,0.980312,0.001727,0.986712,0.001481,0.973039,0.003537,0.977742,0.003003,0.983865,0.001827,,,0.980503,0.001712
p_stack,0.980166,0.001718,0.015803,0.001699,0.004799,0.001009,0.981891,0.001592,0.978077,0.001866,0.061808,0.005691,0.979984,0.001729,0.987158,0.001033,0.971807,0.003473,0.976683,0.002953,0.984433,0.001266,,,0.980177,0.001715
p_weighted,0.98053,0.001937,0.014978,0.001453,0.003428,0.001375,0.982243,0.001787,0.978451,0.002112,0.053318,0.003745,0.980347,0.001949,0.986409,0.001523,0.973473,0.003804,0.978117,0.00322,0.983486,0.001874,,,0.980539,0.001933
