fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.632546,0.884968,0.875934,0.317006,0.0155,0.030819,0.979517,0.987568,0.96539,0.976353,0.132353,0.090452,0.107463,0.206897,0.052632,0.083916,0.627139,0.471941,0.538583,0.661725,0.800979,0.724723,0.641914,0.85307,0.73258,0.973768,0.994857,0.984199,0.831429,0.925278,0.875847,0.618421,0.652778,0.635135,0.666667,0.666667,0.666667
0,p_stack,0.619478,0.880306,0.866521,0.399478,0.018042,0.019074,0.976381,0.951892,0.988215,0.969714,0.727941,0.24505,0.366667,0.672414,0.17849,0.282098,0.640587,0.451335,0.52956,0.596137,0.850641,0.701004,0.70297,0.776664,0.737982,0.975358,0.994596,0.984883,0.852857,0.867733,0.860231,0.789474,0.225564,0.350877,0.777778,0.28,0.411765
0,p_final,0.661414,0.889085,0.87982,0.316523,0.015523,0.018124,0.983881,0.972973,0.978793,0.975874,0.617647,0.336,0.435233,0.655172,0.169265,0.269027,0.667482,0.456904,0.542474,0.635669,0.832353,0.720835,0.682343,0.830321,0.749094,0.975623,0.994329,0.984887,0.85,0.896084,0.872434,0.736842,0.408759,0.525822,0.777778,0.411765,0.538462
0,base_random_forest,0.63027,0.883995,0.872047,0.429671,0.01753,0.032296,0.961321,0.976081,0.973844,0.974961,0.161765,0.103774,0.126437,0.301724,0.064935,0.10687,0.638142,0.460317,0.534836,0.641959,0.813781,0.71773,0.664191,0.847368,0.744681,0.974298,0.995398,0.984735,0.845714,0.89426,0.86931,0.644737,0.521277,0.576471,0.666667,0.666667,0.666667
0,cal_random_forest,0.63027,0.883995,0.872047,0.429671,0.01753,0.032296,0.961321,0.976081,0.973844,0.974961,0.161765,0.103774,0.126437,0.301724,0.064935,0.10687,0.638142,0.460317,0.534836,0.641959,0.813781,0.71773,0.664191,0.847368,0.744681,0.974298,0.995398,0.984735,0.845714,0.89426,0.86931,0.644737,0.521277,0.576471,0.666667,0.666667,0.666667
0,base_extra_trees,0.616806,0.882633,0.866946,0.812185,0.017265,0.033915,0.933681,0.984865,0.969923,0.977337,0.132353,0.044226,0.066298,0.336207,0.062102,0.104839,0.476773,0.442177,0.458824,0.644205,0.824612,0.723329,0.65429,0.899093,0.757402,0.977742,0.993271,0.985445,0.828571,0.919176,0.871525,0.486842,0.649123,0.556391,0.777778,0.583333,0.666667
0,cal_extra_trees,0.616806,0.882633,0.866946,0.812185,0.017265,0.033915,0.933681,0.984865,0.969923,0.977337,0.132353,0.044226,0.066298,0.336207,0.062102,0.104839,0.476773,0.442177,0.458824,0.644205,0.824612,0.723329,0.65429,0.899093,0.757402,0.977742,0.993271,0.985445,0.828571,0.919176,0.871525,0.486842,0.649123,0.556391,0.777778,0.583333,0.666667
0,base_xgboost,0.617984,0.875794,0.879577,0.313966,0.015715,0.014722,0.981176,0.985541,0.957087,0.971105,0.102941,0.875,0.184211,0.017241,0.4,0.033058,0.562347,0.454097,0.502458,0.716532,0.697725,0.707004,0.679868,0.729849,0.703973,0.973238,0.990828,0.981954,0.821429,0.933442,0.87386,0.565789,0.632353,0.597222,0.555556,0.714286,0.625
0,cal_xgboost,0.617984,0.875794,0.879577,0.313966,0.015715,0.014722,0.981176,0.985541,0.957087,0.971105,0.102941,0.875,0.184211,0.017241,0.4,0.033058,0.562347,0.454097,0.502458,0.716532,0.697725,0.707004,0.679868,0.729849,0.703973,0.973238,0.990828,0.981954,0.821429,0.933442,0.87386,0.565789,0.632353,0.597222,0.555556,0.714286,0.625
0,base_knn,0.551282,0.856095,0.857351,1.967012,0.019192,0.033609,0.876235,0.970676,0.944138,0.957223,0.191176,0.114537,0.143251,0.025862,0.115385,0.042254,0.518337,0.465423,0.490457,0.697664,0.66767,0.682337,0.541254,0.693446,0.60797,0.972178,0.993501,0.982724,0.815714,0.865152,0.839706,0.407895,0.462687,0.433566,0.222222,0.666667,0.333333
