fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.637079,0.883794,0.886136,0.306998,0.014811,0.032107,0.981284,0.985405,0.970326,0.977808,0.102941,0.933333,0.18543,0.017241,0.153846,0.031008,0.616137,0.47191,0.534464,0.757412,0.657566,0.703967,0.639439,0.886728,0.743049,0.976948,0.992463,0.984644,0.825714,0.935275,0.877086,0.631579,0.623377,0.627451,0.666667,0.75,0.705882
0,p_stack,0.592012,0.879999,0.865367,0.408388,0.018193,0.022048,0.971815,0.957838,0.9865,0.971957,0.625,0.181237,0.280992,0.482759,0.151351,0.230453,0.643032,0.448041,0.528112,0.589398,0.851948,0.69676,0.683993,0.814342,0.743498,0.976948,0.993533,0.98517,0.854286,0.864162,0.859195,0.828947,0.232472,0.363112,0.666667,0.162162,0.26087
0,p_final,0.641915,0.887978,0.878484,0.310817,0.015173,0.026814,0.982687,0.975676,0.979116,0.977393,0.397059,0.364865,0.380282,0.663793,0.146947,0.240625,0.655257,0.45617,0.537883,0.637466,0.805792,0.711813,0.674917,0.858342,0.755658,0.977213,0.992465,0.98478,0.841429,0.896499,0.868091,0.776316,0.42446,0.548837,0.666667,0.3,0.413793
0,base_random_forest,0.614161,0.879345,0.865853,0.415268,0.019067,0.04244,0.965919,0.965405,0.979973,0.972634,0.169118,0.102679,0.127778,0.301724,0.065299,0.107362,0.644254,0.447368,0.528056,0.623989,0.815619,0.70705,0.683168,0.793864,0.734368,0.967144,0.998086,0.982371,0.857143,0.867052,0.862069,0.723684,0.426357,0.536585,0.777778,0.466667,0.583333
0,cal_random_forest,0.612699,0.879944,0.881156,0.330599,0.015917,0.026331,0.969837,0.977432,0.971003,0.974207,0.110294,1.0,0.198675,0.017241,0.074074,0.027972,0.645477,0.463158,0.539326,0.745283,0.65418,0.696766,0.617987,0.890606,0.729664,0.976683,0.992461,0.984509,0.832857,0.912363,0.870799,0.644737,0.532609,0.583333,0.666667,0.428571,0.521739
0,base_extra_trees,0.606006,0.880899,0.863727,0.73317,0.017829,0.031993,0.942006,0.975405,0.977916,0.976659,0.132353,0.044226,0.066298,0.344828,0.063391,0.107095,0.47555,0.431264,0.452326,0.637916,0.819388,0.717353,0.674917,0.861053,0.756707,0.971118,0.997279,0.984025,0.848571,0.894578,0.870968,0.710526,0.504673,0.590164,0.777778,0.411765,0.538462
0,cal_extra_trees,0.629895,0.885281,0.886561,0.338906,0.015176,0.030671,0.97567,0.982973,0.97285,0.977885,0.095588,1.0,0.174497,0.017241,0.055556,0.026316,0.654034,0.470536,0.547315,0.747529,0.665068,0.703892,0.651815,0.904926,0.757794,0.975888,0.993258,0.984496,0.835714,0.922713,0.877061,0.605263,0.621622,0.613333,0.777778,0.538462,0.636364
0,base_xgboost,0.592442,0.88071,0.884496,0.301145,0.015124,0.012833,0.980418,0.988378,0.963002,0.975525,0.095588,0.928571,0.173333,0.017241,0.4,0.033058,0.599022,0.471607,0.527733,0.721473,0.704695,0.712986,0.684818,0.738434,0.710616,0.976418,0.990858,0.983585,0.822857,0.939641,0.87738,0.618421,0.626667,0.622517,0.222222,0.5,0.307692
0,cal_xgboost,0.613906,0.880632,0.883707,0.29554,0.014963,0.004033,0.980955,0.986081,0.966234,0.976057,0.095588,0.928571,0.173333,0.017241,0.4,0.033058,0.602689,0.462477,0.523355,0.753819,0.662717,0.705338,0.623762,0.864,0.724485,0.976948,0.990064,0.983462,0.817143,0.931596,0.870624,0.657895,0.641026,0.649351,0.444444,0.571429,0.5
0,base_knn,0.522631,0.844811,0.847452,2.148634,0.020707,0.036002,0.846909,0.966486,0.933194,0.949549,0.198529,0.117904,0.147945,0.025862,0.111111,0.041958,0.515892,0.462212,0.487579,0.683738,0.661739,0.672559,0.476898,0.642222,0.547348,0.971118,0.989471,0.980209,0.8,0.82963,0.814545,0.328947,0.462963,0.384615,0.111111,1.0,0.2
0,cal_knn,0.508385,0.844963,0.853586,0.491742,0.020217,0.044253,0.940763,0.975541,0.925513,0.949868,0.066176,0.818182,0.122449,0.017241,0.4,0.033058,0.496333,0.457723,0.476246,0.751123,0.622719,0.68092,0.439769,0.719298,0.545827,0.970588,0.992145,0.981248,0.765714,0.874388,0.816451,0.197368,0.46875,0.277778,0.111111,1.0,0.2
1,p_weighted,0.605631,0.886566,0.889476,0.30597,0.014542,0.037299,0.979571,0.988108,0.973635,0.980818,0.044118,1.0,0.084507,0.025641,0.75,0.049587,0.596577,0.462998,0.521368,0.760108,0.67063,0.712571,0.684818,0.878307,0.769587,0.978013,0.996491,0.987166,0.81402,0.908946,0.858868,0.693333,0.577778,0.630303,0.333333,0.75,0.461538
1,p_stack,0.593791,0.8822,0.867553,0.399418,0.017803,0.020683,0.95825,0.957297,0.986904,0.971875,0.463235,0.21,0.288991,0.709402,0.163708,0.266026,0.676039,0.452167,0.541891,0.57637,0.883609,0.697662,0.710396,0.810734,0.757256,0.977483,0.995951,0.986631,0.852647,0.857554,0.855093,0.906667,0.220779,0.355091,0.555556,0.135135,0.217391
1,p_final,0.641566,0.892587,0.883403,0.307986,0.01482,0.025499,0.970512,0.978378,0.981429,0.979901,0.316176,0.290541,0.302817,0.709402,0.167677,0.271242,0.672372,0.457571,0.544554,0.64106,0.83597,0.725655,0.70462,0.861756,0.775306,0.978013,0.995954,0.986902,0.848355,0.883756,0.865693,0.813333,0.38125,0.519149,0.444444,0.444444,0.444444
1,base_random_forest,0.595353,0.881662,0.869011,0.414761,0.018681,0.042725,0.960358,0.970541,0.977143,0.973831,0.073529,0.047847,0.057971,0.25641,0.056391,0.09245,0.634474,0.460924,0.533951,0.634322,0.829125,0.718758,0.693894,0.787453,0.737719,0.969801,0.999181,0.984272,0.854077,0.863965,0.858993,0.733333,0.462185,0.56701,0.333333,0.6,0.428571
1,cal_random_forest,0.590674,0.880524,0.881096,0.329249,0.015699,0.029129,0.977479,0.981216,0.972282,0.976729,0.029412,1.0,0.057143,0.042735,0.050505,0.046296,0.639364,0.455972,0.532316,0.720126,0.671273,0.694842,0.650165,0.874584,0.745859,0.977219,0.99434,0.985705,0.834049,0.891437,0.861789,0.666667,0.555556,0.606061,0.333333,0.5,0.4
1,base_extra_trees,0.60406,0.884122,0.867493,0.773545,0.017509,0.032748,0.928593,0.977568,0.980084,0.978824,0.073529,0.026596,0.039062,0.25641,0.050847,0.084866,0.517115,0.439709,0.475281,0.634322,0.846523,0.725218,0.70132,0.844091,0.766111,0.97404,0.996477,0.985131,0.841202,0.877612,0.859021,0.76,0.487179,0.59375,0.444444,0.666667,0.533333
1,cal_extra_trees,0.600058,0.88582,0.887229,0.338611,0.014898,0.033822,0.971789,0.985946,0.976184,0.981041,0.036765,0.625,0.069444,0.025641,0.068182,0.037267,0.636919,0.454625,0.53055,0.736298,0.673654,0.703584,0.678218,0.905286,0.775472,0.979073,0.993281,0.986126,0.818312,0.900787,0.857571,0.706667,0.569892,0.630952,0.333333,0.6,0.428571
1,base_xgboost,0.589355,0.883142,0.887047,0.294787,0.014658,0.014645,0.980298,0.989595,0.965713,0.977508,0.044118,0.857143,0.083916,0.034188,0.666667,0.065041,0.58802,0.462056,0.517483,0.708895,0.745747,0.726854,0.744224,0.69438,0.718439,0.978278,0.99515,0.986642,0.81402,0.920712,0.864085,0.653333,0.590361,0.620253,0.222222,0.666667,0.333333
1,cal_xgboost,0.592625,0.884261,0.887654,0.289208,0.014473,0.005968,0.982222,0.986892,0.968054,0.977382,0.044118,0.857143,0.083916,0.042735,0.714286,0.080645,0.580685,0.461613,0.514348,0.766846,0.675772,0.718434,0.663366,0.87013,0.752809,0.979603,0.993285,0.986396,0.811159,0.918963,0.861702,0.666667,0.574713,0.617284,0.222222,0.666667,0.333333
1,base_knn,0.500764,0.844311,0.84721,2.153119,0.020814,0.037834,0.848174,0.966892,0.932855,0.949569,0.139706,0.097436,0.114804,0.008547,0.032258,0.013514,0.479218,0.446978,0.462537,0.686882,0.660475,0.67342,0.506601,0.660926,0.573564,0.971921,0.991354,0.981541,0.788269,0.810294,0.79913,0.266667,0.307692,0.285714,0.111111,0.25,0.153846
1,cal_knn,0.479436,0.845248,0.853282,0.490515,0.020169,0.044248,0.941816,0.971351,0.928322,0.94935,0.044118,0.666667,0.082759,0.0,0.0,0.0,0.47066,0.441514,0.455621,0.752022,0.623696,0.681874,0.481023,0.743622,0.584168,0.970066,0.99295,0.981375,0.769671,0.834109,0.800595,0.2,0.365854,0.258621,0.0,0.0,0.0
2,p_weighted,0.606965,0.883772,0.886676,0.302943,0.014755,0.029332,0.982108,0.983649,0.968854,0.976195,0.059259,0.888889,0.111111,0.034188,0.666667,0.065041,0.595355,0.459434,0.518637,0.757412,0.677925,0.715468,0.672712,0.850886,0.751381,0.983572,0.994374,0.988944,0.799714,0.920923,0.856049,0.586667,0.536585,0.56051,0.555556,0.5,0.526316
2,p_stack,0.599528,0.880318,0.866816,0.402316,0.018158,0.021063,0.959228,0.951081,0.984198,0.967356,0.674074,0.188406,0.294498,0.606838,0.218462,0.321267,0.623472,0.45053,0.523077,0.59973,0.873691,0.711241,0.713932,0.761653,0.737021,0.982247,0.994367,0.98827,0.841202,0.863436,0.852174,0.84,0.227437,0.357955,0.444444,0.166667,0.242424
2,p_final,0.655121,0.888699,0.882181,0.308855,0.015012,0.023952,0.984109,0.974595,0.975649,0.975122,0.340741,0.353846,0.34717,0.700855,0.210797,0.324111,0.649144,0.457759,0.536906,0.66487,0.793991,0.723716,0.690025,0.831182,0.754054,0.983042,0.994371,0.988674,0.809728,0.892744,0.849212,0.746667,0.383562,0.506787,0.666667,0.461538,0.545455
2,base_random_forest,0.602748,0.881342,0.869549,0.41659,0.018409,0.034355,0.973045,0.967568,0.971902,0.96973,0.118519,0.071749,0.089385,0.25641,0.063291,0.101523,0.613692,0.451845,0.520477,0.658131,0.836665,0.736736,0.690025,0.773567,0.729412,0.974828,0.99756,0.986063,0.825465,0.884969,0.854182,0.626667,0.435185,0.513661,0.555556,0.5,0.526316
2,cal_random_forest,0.580704,0.877825,0.879995,0.332504,0.015913,0.029376,0.979006,0.976216,0.966551,0.971359,0.044444,0.545455,0.082192,0.0,0.0,0.0,0.625917,0.456328,0.527835,0.7354,0.672832,0.702726,0.652927,0.847059,0.73743,0.982512,0.991444,0.986958,0.805436,0.908065,0.853677,0.586667,0.473118,0.52381,0.444444,0.4,0.421053
2,base_extra_trees,0.605117,0.88097,0.867545,0.396368,0.019016,0.04156,0.975131,0.962973,0.977772,0.970316,0.074074,0.047393,0.057803,0.324786,0.067857,0.11226,0.574572,0.448473,0.503751,0.639712,0.855769,0.732134,0.71723,0.764499,0.740111,0.979067,0.997301,0.9881,0.844063,0.853835,0.848921,0.746667,0.373333,0.497778,0.666667,0.545455,0.6
2,cal_extra_trees,0.600054,0.878859,0.880967,0.319698,0.015538,0.028514,0.981546,0.976486,0.967984,0.972217,0.051852,1.0,0.098592,0.008547,0.043478,0.014286,0.605134,0.451642,0.517241,0.747978,0.66787,0.705658,0.660346,0.855769,0.745463,0.981982,0.993033,0.987477,0.795422,0.907015,0.847561,0.586667,0.473118,0.52381,0.555556,0.625,0.588235
2,base_xgboost,0.607065,0.882235,0.886129,0.293684,0.014602,0.006223,0.981407,0.987973,0.963368,0.975515,0.066667,0.9,0.124138,0.034188,0.8,0.065574,0.577017,0.460039,0.511931,0.72956,0.719221,0.724353,0.703215,0.730308,0.716506,0.982777,0.994903,0.988803,0.802575,0.928808,0.86109,0.586667,0.619718,0.60274,0.444444,0.571429,0.5
2,cal_xgboost,0.614189,0.884096,0.887404,0.287793,0.014478,0.005853,0.981877,0.986216,0.965599,0.975799,0.059259,0.888889,0.111111,0.034188,0.8,0.065574,0.5978,0.463947,0.522436,0.758311,0.680097,0.717077,0.663644,0.862808,0.750233,0.983572,0.993842,0.98868,0.796853,0.931438,0.858905,0.6,0.5625,0.580645,0.666667,0.5,0.571429
2,base_knn,0.519601,0.84014,0.84465,2.195848,0.021087,0.041828,0.848747,0.962838,0.927855,0.945023,0.096296,0.121495,0.107438,0.034188,0.129032,0.054054,0.44132,0.432335,0.436782,0.706649,0.646527,0.675252,0.490519,0.630297,0.551692,0.974033,0.99137,0.982625,0.759657,0.820711,0.789004,0.373333,0.363636,0.368421,0.222222,0.4,0.285714
2,cal_knn,0.511988,0.842461,0.850358,0.495978,0.020455,0.047691,0.938641,0.966486,0.923554,0.944532,0.059259,0.888889,0.111111,0.025641,1.0,0.05,0.440098,0.436893,0.43849,0.757412,0.625835,0.685366,0.464963,0.70412,0.560079,0.973238,0.994315,0.983664,0.755365,0.834123,0.792793,0.36,0.45,0.4,0.111111,0.25,0.153846
3,p_weighted,0.621986,0.881663,0.884489,0.307665,0.014955,0.030729,0.98208,0.986892,0.964984,0.975815,0.088889,0.705882,0.157895,0.008547,1.0,0.016949,0.574051,0.450096,0.504572,0.759317,0.661581,0.707088,0.657873,0.882743,0.753897,0.974033,0.995936,0.984863,0.809728,0.929392,0.865443,0.578947,0.594595,0.586667,0.5,1.0,0.666667
3,p_stack,0.590418,0.878777,0.863476,0.405528,0.018518,0.022851,0.982106,0.950135,0.986115,0.967791,0.548148,0.16895,0.25829,0.623932,0.192612,0.294355,0.642595,0.446429,0.526844,0.585541,0.868754,0.699571,0.721352,0.773652,0.746587,0.972443,0.997283,0.984706,0.848355,0.868228,0.858177,0.881579,0.22408,0.357333,0.75,0.122449,0.210526
3,p_final,0.674268,0.889115,0.880967,0.310818,0.015095,0.027763,0.98488,0.978378,0.973904,0.976136,0.474074,0.219178,0.299766,0.623932,0.205056,0.308668,0.638923,0.455497,0.531839,0.655141,0.811457,0.724969,0.685903,0.850716,0.759471,0.974033,0.995936,0.984863,0.829757,0.907668,0.866966,0.710526,0.435484,0.54,0.75,0.75,0.75
3,base_random_forest,0.632374,0.880792,0.867727,0.416991,0.018479,0.036906,0.971359,0.973108,0.972714,0.972911,0.155556,0.072165,0.098592,0.247863,0.059305,0.09571,0.593635,0.447417,0.510258,0.644365,0.818597,0.721106,0.687552,0.816047,0.746309,0.965554,0.998356,0.981681,0.841202,0.877612,0.859021,0.578947,0.463158,0.51462,0.875,0.777778,0.823529
3,cal_random_forest,0.632892,0.879477,0.880785,0.330123,0.015776,0.025867,0.979352,0.980405,0.966431,0.973368,0.074074,0.666667,0.133333,0.025641,0.04918,0.033708,0.598531,0.46263,0.521878,0.752582,0.661927,0.70435,0.645507,0.87682,0.74359,0.972708,0.996201,0.984314,0.809728,0.899841,0.85241,0.565789,0.551282,0.558442,0.875,0.777778,0.823529
3,base_extra_trees,0.621733,0.879593,0.864387,0.412126,0.019225,0.042273,0.974108,0.963784,0.980074,0.971861,0.125926,0.060714,0.081928,0.299145,0.061404,0.101892,0.570379,0.445933,0.500537,0.626403,0.834829,0.715752,0.72465,0.778565,0.75064,0.969263,0.998635,0.98373,0.848355,0.869501,0.858798,0.671053,0.366906,0.474419,0.875,0.7,0.777778
3,cal_extra_trees,0.608219,0.87952,0.881088,0.321963,0.015574,0.024801,0.981402,0.978784,0.967798,0.97326,0.066667,0.529412,0.118421,0.025641,0.075,0.038217,0.597307,0.457357,0.518047,0.755276,0.660904,0.704946,0.64798,0.865639,0.74116,0.974563,0.994592,0.984475,0.816881,0.918006,0.864497,0.578947,0.556962,0.567742,0.5,0.666667,0.571429
3,base_xgboost,0.607166,0.875945,0.879995,0.301915,0.015191,0.011575,0.982153,0.989324,0.956119,0.972438,0.088889,1.0,0.163265,0.017094,1.0,0.033613,0.561812,0.449559,0.499456,0.70678,0.718721,0.712701,0.694971,0.692687,0.693827,0.974298,0.995398,0.984735,0.799714,0.934783,0.861989,0.513158,0.557143,0.534247,0.5,0.8,0.615385
3,cal_xgboost,0.623338,0.877478,0.881513,0.296605,0.015033,0.007193,0.983282,0.989054,0.958486,0.97353,0.088889,1.0,0.163265,0.008547,1.0,0.016949,0.559364,0.448919,0.498093,0.743152,0.681631,0.711063,0.641385,0.792261,0.708884,0.975623,0.994329,0.984887,0.804006,0.935108,0.864615,0.565789,0.558442,0.562092,0.75,0.75,0.75
3,base_knn,0.491729,0.842662,0.846107,2.240068,0.021047,0.039709,0.846765,0.97,0.93124,0.950225,0.118519,0.112676,0.115523,0.025641,0.073171,0.037975,0.471236,0.428254,0.448718,0.667714,0.646241,0.656802,0.532564,0.659857,0.589416,0.967939,0.990778,0.979225,0.776824,0.820242,0.797943,0.276316,0.446809,0.341463,0.0,0.0,0.0
3,cal_knn,0.491481,0.843879,0.85133,0.499004,0.020443,0.047642,0.932216,0.975811,0.924229,0.94932,0.059259,0.571429,0.107383,0.017094,1.0,0.033613,0.465116,0.426487,0.444965,0.723395,0.62057,0.668049,0.493817,0.734969,0.59073,0.966614,0.994547,0.980382,0.756795,0.845048,0.798491,0.263158,0.487805,0.34188,0.0,0.0,0.0
4,p_weighted,0.609052,0.880723,0.884003,0.313089,0.01503,0.035627,0.97977,0.987027,0.964479,0.975623,0.074074,1.0,0.137931,0.017241,0.666667,0.033613,0.56846,0.455882,0.505985,0.760665,0.661977,0.707898,0.648515,0.86755,0.74221,0.976418,0.995408,0.985821,0.796853,0.923715,0.855607,0.644737,0.583333,0.6125,0.444444,0.666667,0.533333
