fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.632747,0.884567,0.886925,0.30975,0.014773,0.034867,0.980651,0.985676,0.970463,0.97801,0.095588,0.928571,0.173333,0.017241,0.5,0.033333,0.616137,0.469274,0.53277,0.761006,0.657099,0.705246,0.65099,0.889515,0.751787,0.976683,0.994335,0.98543,0.814286,0.943709,0.874233,0.618421,0.635135,0.626667,0.666667,0.666667,0.666667
0,p_stack,0.595693,0.87982,0.865671,0.413282,0.017957,0.0252,0.969172,0.958108,0.987053,0.972365,0.676471,0.181818,0.286604,0.456897,0.170418,0.248244,0.643032,0.452668,0.531313,0.588949,0.842545,0.693284,0.686469,0.805421,0.741203,0.977477,0.993269,0.98531,0.848571,0.869693,0.859002,0.802632,0.217082,0.341737,0.777778,0.184211,0.297872
0,p_final,0.663197,0.88649,0.884739,0.312167,0.01492,0.019223,0.98332,0.979054,0.976284,0.977667,0.183824,0.352113,0.241546,0.258621,0.272727,0.265487,0.657702,0.457872,0.53989,0.706199,0.703041,0.704617,0.676568,0.839304,0.749201,0.978007,0.993807,0.985844,0.841429,0.900612,0.870015,0.684211,0.530612,0.597701,0.777778,0.636364,0.7
0,base_random_forest,0.618721,0.883042,0.870347,0.564356,0.017821,0.029651,0.956397,0.974595,0.975385,0.97499,0.161765,0.099548,0.123249,0.301724,0.063752,0.105263,0.628362,0.454064,0.527179,0.637466,0.80625,0.711992,0.671617,0.856842,0.753006,0.970588,0.997006,0.98362,0.85,0.884101,0.866715,0.697368,0.504762,0.585635,0.555556,0.555556,0.555556
0,cal_random_forest,0.615998,0.882333,0.883525,0.346713,0.015587,0.029452,0.967089,0.981622,0.970474,0.976016,0.095588,1.0,0.174497,0.017241,0.054054,0.026144,0.655257,0.461274,0.541414,0.734501,0.662211,0.696486,0.636139,0.910272,0.748907,0.977213,0.991931,0.984517,0.834286,0.919685,0.874906,0.671053,0.56044,0.610778,0.555556,0.5,0.526316
0,base_extra_trees,0.607,0.880803,0.865124,0.805474,0.017373,0.03436,0.941233,0.984865,0.970957,0.977861,0.132353,0.044226,0.066298,0.336207,0.062003,0.104698,0.466993,0.432616,0.449148,0.640611,0.816724,0.718026,0.653465,0.883929,0.751423,0.976948,0.993801,0.985302,0.817143,0.9152,0.863396,0.473684,0.666667,0.553846,0.666667,0.545455,0.6
0,cal_extra_trees,0.607348,0.881476,0.883646,0.342695,0.015186,0.02811,0.971401,0.982973,0.9722,0.977557,0.066176,1.0,0.124138,0.0,0.0,0.0,0.643032,0.453448,0.53185,0.743037,0.657393,0.697596,0.651815,0.877778,0.748106,0.977742,0.993003,0.985314,0.808571,0.92635,0.863463,0.473684,0.642857,0.545455,0.666667,0.545455,0.6
0,base_xgboost,0.620068,0.878827,0.882189,0.304973,0.015308,0.013233,0.980957,0.98473,0.961219,0.972832,0.110294,0.882353,0.196078,0.017241,0.4,0.033058,0.59291,0.461027,0.518717,0.721024,0.700262,0.710491,0.679868,0.744354,0.710651,0.976153,0.990323,0.983187,0.821429,0.936482,0.87519,0.592105,0.633803,0.612245,0.555556,0.625,0.588235
0,cal_xgboost,0.629498,0.878908,0.881703,0.301156,0.015207,0.006118,0.981191,0.983649,0.963085,0.973258,0.110294,0.882353,0.196078,0.017241,0.4,0.033058,0.590465,0.454374,0.513557,0.751123,0.660087,0.702669,0.625413,0.866286,0.726402,0.976418,0.991124,0.983716,0.818571,0.937807,0.874142,0.592105,0.592105,0.592105,0.777778,0.636364,0.7
0,base_knn,0.53487,0.855296,0.85644,1.995568,0.019342,0.035951,0.866146,0.969865,0.945462,0.957508,0.198529,0.118943,0.14876,0.017241,0.08,0.028369,0.511002,0.457831,0.482958,0.698113,0.660995,0.679047,0.557756,0.704901,0.622754,0.970323,0.993758,0.981901,0.797143,0.839098,0.817582,0.368421,0.571429,0.448,0.111111,0.5,0.181818
