fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.631467,0.885277,0.887411,0.306569,0.014844,0.03154,0.981215,0.985,0.970443,0.977667,0.110294,0.882353,0.196078,0.025862,0.272727,0.047244,0.625917,0.477167,0.541512,0.764151,0.661096,0.708898,0.645215,0.882619,0.745472,0.975093,0.994057,0.984484,0.825714,0.947541,0.882443,0.618421,0.643836,0.630872,0.666667,0.545455,0.6
0,p_stack,0.60151,0.879723,0.864942,0.415108,0.018194,0.020625,0.966682,0.956351,0.987994,0.971915,0.669118,0.171375,0.272864,0.482759,0.170213,0.251685,0.650367,0.448189,0.530673,0.586253,0.852941,0.694888,0.688944,0.808325,0.743875,0.974563,0.994323,0.984344,0.857143,0.85592,0.856531,0.815789,0.236641,0.366864,0.777778,0.21875,0.341463
0,p_final,0.657083,0.887774,0.882249,0.30969,0.015065,0.024277,0.982649,0.977973,0.977577,0.977775,0.375,0.324841,0.348123,0.413793,0.171429,0.242424,0.662592,0.468453,0.548861,0.673405,0.733725,0.702272,0.678218,0.863445,0.759704,0.975358,0.99379,0.984488,0.841429,0.906154,0.872593,0.684211,0.495238,0.574586,0.777778,0.4375,0.56
0,base_random_forest,0.622503,0.8777,0.864699,0.403287,0.019476,0.046137,0.968275,0.955811,0.981816,0.968639,0.132353,0.098901,0.113208,0.344828,0.072727,0.12012,0.661369,0.457699,0.541,0.62354,0.812171,0.705464,0.69967,0.758497,0.727897,0.969263,0.99809,0.983466,0.87,0.84349,0.85654,0.763158,0.464,0.577114,0.666667,0.6,0.631579
0,cal_random_forest,0.620917,0.880873,0.881946,0.323539,0.015788,0.026083,0.978377,0.977297,0.970869,0.974072,0.102941,1.0,0.186667,0.017241,0.057143,0.02649,0.652812,0.468421,0.545455,0.747978,0.658363,0.700315,0.623762,0.883178,0.731141,0.975358,0.99379,0.984488,0.832857,0.922468,0.875375,0.644737,0.521277,0.576471,0.777778,0.5,0.608696
0,base_extra_trees,0.617526,0.883157,0.867432,0.634836,0.01731,0.030793,0.944873,0.98527,0.970451,0.977805,0.132353,0.044554,0.066667,0.327586,0.06051,0.102151,0.482885,0.446833,0.46416,0.644654,0.824239,0.723469,0.656766,0.896396,0.758095,0.975888,0.993794,0.984759,0.835714,0.918367,0.875093,0.486842,0.649123,0.556391,0.666667,0.666667,0.666667
0,cal_extra_trees,0.624157,0.884978,0.8865,0.330691,0.015041,0.023847,0.973586,0.982703,0.973885,0.978274,0.095588,1.0,0.174497,0.008621,0.045455,0.014493,0.671149,0.46843,0.551759,0.742588,0.664122,0.701166,0.659241,0.896745,0.759867,0.978007,0.991139,0.984529,0.821429,0.928918,0.871873,0.513158,0.65,0.573529,0.666667,0.6,0.631579
0,base_xgboost,0.614703,0.876577,0.880185,0.315231,0.01576,0.014989,0.981206,0.98527,0.957578,0.971227,0.102941,0.875,0.184211,0.025862,0.5,0.04918,0.580685,0.463867,0.515744,0.719227,0.695784,0.707312,0.673267,0.729223,0.700129,0.972973,0.992164,0.982475,0.817143,0.937705,0.873282,0.605263,0.657143,0.630137,0.444444,0.666667,0.533333
0,cal_xgboost,0.627917,0.876401,0.879395,0.309073,0.015608,0.00417,0.981433,0.982703,0.959747,0.971089,0.102941,0.823529,0.183007,0.025862,0.428571,0.04878,0.596577,0.461248,0.520256,0.752471,0.654808,0.700251,0.604785,0.860329,0.710271,0.973503,0.991365,0.982353,0.811429,0.937294,0.869832,0.618421,0.635135,0.626667,0.777778,0.583333,0.666667
0,base_knn,0.541223,0.856955,0.858323,1.951404,0.019074,0.032409,0.86419,0.972027,0.946696,0.959195,0.213235,0.127193,0.159341,0.025862,0.115385,0.042254,0.528117,0.468039,0.496267,0.696765,0.670558,0.68341,0.542079,0.69377,0.608615,0.973768,0.994318,0.983936,0.812857,0.844214,0.828239,0.302632,0.396552,0.343284,0.222222,0.5,0.307692
0,cal_knn,0.544458,0.857743,0.864031,0.456522,0.018635,0.042739,0.950211,0.978649,0.941253,0.959587,0.102941,0.933333,0.18543,0.008621,0.333333,0.016807,0.512225,0.461963,0.485797,0.756065,0.631046,0.687922,0.509901,0.763906,0.611578,0.972708,0.994581,0.983523,0.795714,0.881329,0.836336,0.276316,0.456522,0.344262,0.222222,0.666667,0.333333
1,p_weighted,0.625542,0.886446,0.889294,0.305207,0.014512,0.037226,0.979571,0.989595,0.972639,0.981044,0.044118,1.0,0.084507,0.025641,1.0,0.05,0.605134,0.458758,0.521877,0.752471,0.671881,0.709896,0.680693,0.885193,0.76959,0.977219,0.99595,0.986496,0.818312,0.913738,0.863396,0.68,0.573034,0.621951,0.555556,0.833333,0.666667
1,p_stack,0.614598,0.883299,0.86895,0.39841,0.017741,0.020216,0.960548,0.957568,0.986771,0.97195,0.441176,0.244898,0.314961,0.760684,0.16451,0.270517,0.677262,0.450773,0.54128,0.584007,0.883753,0.703273,0.711221,0.816288,0.760141,0.976954,0.994606,0.985701,0.852647,0.860029,0.856322,0.893333,0.211356,0.341837,0.777778,0.269231,0.4
1,p_final,0.663711,0.891818,0.884921,0.306183,0.014716,0.025641,0.969405,0.982027,0.979116,0.980569,0.316176,0.409524,0.356846,0.65812,0.179487,0.282051,0.671149,0.460957,0.546541,0.650943,0.7875,0.71274,0.694719,0.877083,0.775322,0.977219,0.994608,0.985836,0.841202,0.888218,0.864071,0.826667,0.455882,0.587678,0.666667,0.461538,0.545455
1,base_random_forest,0.617809,0.885678,0.873019,0.418588,0.017935,0.036682,0.958673,0.975,0.979633,0.977311,0.080882,0.051402,0.062857,0.247863,0.055133,0.090202,0.643032,0.460999,0.537009,0.634771,0.831176,0.719817,0.705446,0.822907,0.759662,0.971656,0.998639,0.984962,0.855508,0.869186,0.862293,0.746667,0.495575,0.595745,0.555556,0.625,0.588235
1,cal_random_forest,0.612287,0.882059,0.882432,0.323815,0.015262,0.033838,0.976994,0.981892,0.973342,0.977598,0.029412,1.0,0.057143,0.034188,0.041667,0.037559,0.651589,0.458692,0.538384,0.713836,0.671314,0.691922,0.669142,0.884406,0.76186,0.975629,0.995405,0.985418,0.835479,0.890244,0.861993,0.693333,0.565217,0.622754,0.555556,0.625,0.588235
1,base_extra_trees,0.615603,0.883034,0.866278,0.770024,0.017688,0.032575,0.929065,0.97473,0.98056,0.977636,0.073529,0.026596,0.039062,0.264957,0.052542,0.087694,0.520782,0.441909,0.478114,0.630279,0.845181,0.722079,0.705446,0.829292,0.762372,0.97351,0.997016,0.985123,0.842632,0.875186,0.858601,0.76,0.467213,0.57868,0.666667,0.666667,0.666667
1,cal_extra_trees,0.623725,0.884385,0.885711,0.340731,0.015,0.037044,0.972688,0.986486,0.974243,0.980326,0.036765,0.625,0.069444,0.025641,0.065217,0.03681,0.649144,0.454623,0.534743,0.724169,0.669157,0.695577,0.672442,0.917793,0.77619,0.976689,0.992998,0.984776,0.821173,0.889922,0.854167,0.706667,0.582418,0.638554,0.555556,0.833333,0.666667
1,base_xgboost,0.603168,0.881503,0.885468,0.297524,0.014841,0.014475,0.980601,0.989189,0.963411,0.97613,0.044118,0.857143,0.083916,0.042735,0.625,0.08,0.59291,0.465898,0.521786,0.701707,0.737837,0.719318,0.741749,0.699611,0.720064,0.977219,0.993269,0.985178,0.805436,0.92144,0.859542,0.653333,0.597561,0.624204,0.333333,0.75,0.461538
1,cal_xgboost,0.626859,0.883524,0.886804,0.291414,0.014661,0.006427,0.98114,0.987432,0.965896,0.976545,0.044118,1.0,0.084507,0.042735,0.625,0.08,0.601467,0.463277,0.523404,0.754717,0.676873,0.713679,0.662541,0.871878,0.75293,0.977748,0.991938,0.984792,0.806867,0.923077,0.861069,0.666667,0.588235,0.625,0.555556,0.833333,0.666667
1,base_knn,0.530251,0.852502,0.855104,2.061743,0.01958,0.036753,0.851634,0.973378,0.940217,0.95651,0.147059,0.100503,0.119403,0.017094,0.064516,0.027027,0.48044,0.445074,0.462081,0.690925,0.670153,0.68038,0.540429,0.704301,0.611578,0.975364,0.991651,0.98344,0.811159,0.821739,0.816415,0.24,0.310345,0.270677,0.333333,0.428571,0.375
1,cal_knn,0.528992,0.854837,0.862027,0.467623,0.018924,0.044104,0.943806,0.977838,0.938521,0.957776,0.058824,0.727273,0.108844,0.008547,1.0,0.016949,0.466993,0.43908,0.452607,0.751123,0.633813,0.6875,0.525578,0.781595,0.628515,0.975629,0.991119,0.983313,0.798283,0.849315,0.823009,0.2,0.357143,0.25641,0.333333,0.428571,0.375
2,p_weighted,0.61179,0.881246,0.884368,0.309996,0.015024,0.032253,0.98152,0.984459,0.963879,0.974061,0.059259,1.0,0.111888,0.042735,0.833333,0.081301,0.585575,0.454891,0.512026,0.752471,0.671612,0.709746,0.659522,0.865801,0.748713,0.981717,0.994631,0.988132,0.798283,0.914754,0.852559,0.546667,0.532468,0.539474,0.666667,0.545455,0.6
2,p_stack,0.599258,0.877708,0.863051,0.409716,0.018471,0.019995,0.973978,0.946351,0.982326,0.964003,0.755556,0.174957,0.284123,0.504274,0.265766,0.348083,0.614914,0.445527,0.516692,0.597934,0.870504,0.708921,0.708162,0.751531,0.729202,0.980657,0.995428,0.987987,0.835479,0.879518,0.856933,0.84,0.200637,0.323907,0.666667,0.171429,0.272727
2,p_final,0.655148,0.886318,0.883335,0.313333,0.015157,0.022309,0.98399,0.974595,0.970398,0.972492,0.303704,0.41,0.348936,0.444444,0.309524,0.364912,0.635697,0.455342,0.530612,0.703504,0.731092,0.717033,0.678483,0.829637,0.746485,0.982247,0.995435,0.988797,0.812589,0.903021,0.855422,0.666667,0.406504,0.505051,0.666667,0.428571,0.521739
2,base_random_forest,0.611379,0.882571,0.871614,0.579696,0.018009,0.028952,0.959563,0.972568,0.971255,0.971911,0.103704,0.068966,0.08284,0.307692,0.074534,0.12,0.618582,0.450579,0.521381,0.656783,0.8321,0.73412,0.682605,0.801549,0.737311,0.976418,0.996215,0.986217,0.818312,0.878648,0.847407,0.613333,0.484211,0.541176,0.666667,0.5,0.571429
2,cal_random_forest,0.600053,0.8786,0.88121,0.346408,0.015824,0.029791,0.976833,0.979189,0.965361,0.972226,0.02963,1.0,0.057554,0.017094,0.095238,0.028986,0.621027,0.449956,0.521828,0.742588,0.671133,0.705054,0.643034,0.864745,0.737589,0.981717,0.994097,0.987868,0.808298,0.904,0.853474,0.546667,0.525641,0.535948,0.666667,0.545455,0.6
2,base_extra_trees,0.60319,0.878384,0.864995,0.404297,0.019294,0.039582,0.97439,0.957027,0.977097,0.966958,0.074074,0.049505,0.059347,0.350427,0.073741,0.121842,0.590465,0.449302,0.510301,0.633423,0.852995,0.726991,0.714757,0.753258,0.733503,0.978802,0.996493,0.987569,0.849785,0.84375,0.846757,0.746667,0.352201,0.478632,0.666667,0.545455,0.6
2,cal_extra_trees,0.599163,0.877375,0.879813,0.32108,0.015654,0.027595,0.981078,0.976081,0.964352,0.970181,0.051852,1.0,0.098592,0.008547,0.05,0.014599,0.603912,0.454044,0.518363,0.750225,0.665339,0.705236,0.641385,0.857773,0.733962,0.982777,0.992773,0.98775,0.795422,0.922056,0.854071,0.573333,0.457447,0.508876,0.666667,0.545455,0.6
2,base_xgboost,0.616242,0.877826,0.881999,0.306353,0.015287,0.009723,0.981637,0.986757,0.956636,0.971463,0.059259,1.0,0.111888,0.042735,0.833333,0.081301,0.562347,0.451866,0.501089,0.720575,0.706297,0.713364,0.688376,0.745536,0.715817,0.980392,0.993555,0.98693,0.805436,0.927512,0.862175,0.533333,0.571429,0.551724,0.666667,0.666667,0.666667
2,cal_xgboost,0.61479,0.879135,0.882789,0.302087,0.01518,0.005266,0.98301,0.985811,0.959363,0.972407,0.059259,0.888889,0.111111,0.042735,0.833333,0.081301,0.572127,0.454369,0.506494,0.751123,0.669068,0.707725,0.639736,0.868981,0.736942,0.980922,0.991961,0.986411,0.804006,0.927393,0.861303,0.56,0.545455,0.552632,0.666667,0.6,0.631579
