fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.634616,0.883194,0.885711,0.309685,0.014975,0.035513,0.981228,0.98473,0.967472,0.976025,0.110294,0.9375,0.197368,0.017241,0.181818,0.031496,0.616137,0.47413,0.535885,0.759209,0.660672,0.706522,0.633663,0.882759,0.737752,0.976153,0.99219,0.984106,0.828571,0.943089,0.882129,0.644737,0.6125,0.628205,0.666667,0.666667,0.666667
0,p_stack,0.595711,0.879545,0.864153,0.40664,0.018146,0.02289,0.972197,0.955811,0.98716,0.971232,0.625,0.18559,0.286195,0.568966,0.152778,0.240876,0.639364,0.449699,0.528016,0.579964,0.860093,0.692782,0.684818,0.820158,0.746403,0.978272,0.993809,0.985979,0.857143,0.858369,0.857756,0.828947,0.221831,0.35,0.777778,0.184211,0.297872
0,p_final,0.654532,0.889301,0.87976,0.312261,0.015273,0.024521,0.982783,0.975811,0.978455,0.977131,0.448529,0.287736,0.350575,0.603448,0.146751,0.236088,0.662592,0.45777,0.541459,0.639712,0.817921,0.717923,0.675743,0.865751,0.759036,0.978537,0.993009,0.98572,0.842857,0.89939,0.870206,0.789474,0.444444,0.56872,0.777778,0.411765,0.538462
0,base_random_forest,0.604531,0.874456,0.860934,0.410741,0.019915,0.04568,0.967734,0.950541,0.982539,0.966275,0.139706,0.106145,0.120635,0.344828,0.072072,0.119225,0.669927,0.456286,0.542843,0.615454,0.813056,0.700588,0.695545,0.731771,0.713198,0.968203,0.998361,0.983051,0.867143,0.837241,0.85193,0.736842,0.408759,0.525822,0.666667,0.428571,0.521739
0,cal_random_forest,0.613934,0.878766,0.880063,0.326616,0.015999,0.024075,0.970997,0.974865,0.968192,0.971517,0.110294,0.714286,0.191083,0.017241,0.060606,0.026846,0.645477,0.466431,0.541538,0.747529,0.660317,0.701222,0.608911,0.875445,0.718248,0.977213,0.99407,0.985569,0.838571,0.903077,0.86963,0.657895,0.531915,0.588235,0.666667,0.461538,0.545455
0,base_extra_trees,0.612468,0.881258,0.864031,0.732156,0.017831,0.030464,0.943032,0.973649,0.979473,0.976552,0.132353,0.044226,0.066298,0.344828,0.063291,0.106952,0.484108,0.433735,0.457539,0.631626,0.826573,0.716068,0.679868,0.853002,0.756657,0.974563,0.996208,0.985267,0.852857,0.887073,0.869629,0.75,0.508929,0.606383,0.777778,0.466667,0.583333
0,cal_extra_trees,0.638533,0.885721,0.886743,0.338621,0.015138,0.032172,0.977092,0.981622,0.973988,0.97779,0.102941,1.0,0.186667,0.034483,0.108108,0.052288,0.644254,0.468444,0.54246,0.745732,0.66241,0.701606,0.657591,0.907745,0.762679,0.978802,0.993011,0.985855,0.835714,0.92126,0.876404,0.657895,0.609756,0.632911,0.777778,0.583333,0.666667
0,base_xgboost,0.612623,0.876421,0.880185,0.314121,0.015706,0.014716,0.980816,0.987297,0.956158,0.971478,0.102941,0.823529,0.183007,0.017241,0.4,0.033058,0.586797,0.454115,0.512,0.709344,0.702715,0.706014,0.669967,0.735507,0.701209,0.974563,0.989774,0.982109,0.82,0.947195,0.87902,0.592105,0.661765,0.625,0.444444,0.666667,0.533333
0,cal_xgboost,0.624337,0.876013,0.879395,0.307915,0.015552,0.004553,0.980166,0.985135,0.959084,0.971935,0.110294,0.833333,0.194805,0.017241,0.4,0.033058,0.57824,0.448767,0.505342,0.733603,0.672847,0.701913,0.624587,0.799366,0.701251,0.976153,0.989525,0.982793,0.817143,0.943894,0.875957,0.644737,0.644737,0.644737,0.666667,0.6,0.631579
0,base_knn,0.527001,0.850112,0.852189,2.070503,0.020109,0.033492,0.859339,0.968378,0.937835,0.952862,0.191176,0.115044,0.143646,0.017241,0.076923,0.028169,0.506112,0.458472,0.481116,0.695418,0.66638,0.680589,0.508251,0.666667,0.576779,0.971383,0.992958,0.982052,0.808571,0.842262,0.825073,0.368421,0.482759,0.41791,0.111111,0.5,0.181818
