feature,consensus_score,rank,selected
state,1.881609573508506,1,True
service,1.881609573508506,2,True
proto,1.881609573508506,3,True
load_per_pkt,1.881609573508506,4,True
rate_per_pkt,1.881609573508506,5,True
win_ratio,1.881609573508506,6,True
tcp_setup_ratio,1.881609573508506,7,True
bytes_per_pkt_total,1.881609573508506,8,True
mean_pkt_src,1.881609573508506,9,True
mean_pkt_dst,1.881609573508506,10,True
pkt_size_asym,1.881609573508506,11,True
byte_ratio,1.881609573508506,12,True
ct_srv_dst,1.881609573508506,13,True
ct_src_ltm,1.881609573508506,14,True
jit_ratio,1.881609573508506,15,True
inter_pkt_ratio,1.881609573508506,16,True
ttl_diff,1.881609573508506,17,True
load_ratio,1.881609573508506,18,True
pkt_ratio,1.881609573508506,19,True
ct_dst_src_ltm,1.881609573508506,20,True
swin,1.881609573508506,21,True
dmean,1.881609573508506,22,True
ct_srv_src,1.881609573508506,23,True
ct_state_ttl,1.881609573508506,24,True
ct_dst_ltm,1.881609573508506,25,True
ct_src_dport_ltm,1.881609573508506,26,True
ct_dst_sport_ltm,1.881609573508506,27,True
dttl,1.881609573508506,28,True
sttl,1.881609573508506,29,True
rate,1.881609573508506,30,True
dload,1.881609573508506,31,True
smean,1.881609573508506,32,True
sbytes,1.4160875700997075,33,True
spkts,1.4160875700997075,34,True
dpkts,1.4160875700997075,35,True
sload,1.4160875700997075,36,True
sloss,1.4160875700997075,37,True
dloss,1.4160875700997075,38,True
dbytes,1.4160875700997075,39,True
sjit,1.4160875700997075,40,True
dinpkt,1.4160875700997075,41,True
djit,1.4160875700997075,42,True
sinpkt,1.4160875700997075,43,True
dur,1.4160875700997075,44,True
ackdat,1.4095355136095993,45,True
tcprtt,1.4095355136095993,46,True
synack,1.4095355136095993,47,True
src_loss_rate,1.4095355136095993,48,True
dst_loss_rate,1.4095355136095993,49,True
loss_rate,1.4095355136095993,50,True
trans_depth,1.4070178645923481,51,False
dwin,1.4070178645923481,52,False
stcpb,1.4070178645923481,53,False
dtcpb,1.4070178645923481,54,False
ct_flw_http_mthd,0.9414958611835496,55,False
response_body_len,0.9414958611835496,56,False
is_sm_ips_ports,0.46942180128464284,57,False
is_ftp_login,0.0,58,False
ct_ftp_cmd,0.0,59,False
