fold,method,macro_f1,weighted_f1,accuracy,log_loss,brier_score,ece,roc_auc_macro_ovr,recall_normal,precision_normal,f1_normal,recall_analysis,precision_analysis,f1_analysis,recall_backdoor,precision_backdoor,f1_backdoor,recall_dos,precision_dos,f1_dos,recall_exploits,precision_exploits,f1_exploits,recall_fuzzers,precision_fuzzers,f1_fuzzers,recall_generic,precision_generic,f1_generic,recall_reconnaissance,precision_reconnaissance,f1_reconnaissance,recall_shellcode,precision_shellcode,f1_shellcode,recall_worms,precision_worms,f1_worms
0,p_weighted,0.626594,0.884309,0.886682,0.307043,0.014751,0.034489,0.981052,0.985541,0.970459,0.977942,0.095588,0.928571,0.173333,0.017241,0.4,0.033058,0.618582,0.469824,0.534037,0.758311,0.660924,0.706276,0.65264,0.878889,0.749053,0.975623,0.994598,0.985019,0.82,0.936378,0.874334,0.605263,0.597403,0.601307,0.666667,0.6,0.631579
0,p_stack,0.610798,0.880622,0.866278,0.408621,0.01797,0.023061,0.979515,0.956351,0.987305,0.971582,0.654412,0.188161,0.292282,0.465517,0.151685,0.228814,0.649144,0.449239,0.531,0.595238,0.851542,0.700687,0.688119,0.805797,0.742323,0.977477,0.993536,0.985441,0.857143,0.863309,0.860215,0.776316,0.220974,0.344023,0.777778,0.318182,0.451613
0,p_final,0.626594,0.884309,0.886682,0.307043,0.014751,0.034489,0.981052,0.985541,0.970459,0.977942,0.095588,0.928571,0.173333,0.017241,0.4,0.033058,0.618582,0.469824,0.534037,0.758311,0.660924,0.706276,0.65264,0.878889,0.749053,0.975623,0.994598,0.985019,0.82,0.936378,0.874334,0.605263,0.597403,0.601307,0.666667,0.6,0.631579
0,base_random_forest,0.63027,0.883995,0.872047,0.429671,0.01753,0.032296,0.961321,0.976081,0.973844,0.974961,0.161765,0.103774,0.126437,0.301724,0.064935,0.10687,0.638142,0.460317,0.534836,0.641959,0.813781,0.71773,0.664191,0.847368,0.744681,0.974298,0.995398,0.984735,0.845714,0.89426,0.86931,0.644737,0.521277,0.576471,0.666667,0.666667,0.666667
0,cal_random_forest,0.62163,0.882664,0.883282,0.324371,0.015428,0.024043,0.967205,0.977027,0.974262,0.975643,0.088235,1.0,0.162162,0.025862,0.065217,0.037037,0.658924,0.461473,0.5428,0.7354,0.666531,0.699274,0.655116,0.863043,0.744841,0.978802,0.992744,0.985724,0.828571,0.930979,0.876795,0.644737,0.576471,0.608696,0.777778,0.466667,0.583333
0,base_extra_trees,0.616806,0.882633,0.866946,0.812185,0.017265,0.033915,0.933681,0.984865,0.969923,0.977337,0.132353,0.044226,0.066298,0.336207,0.062102,0.104839,0.476773,0.442177,0.458824,0.644205,0.824612,0.723329,0.65429,0.899093,0.757402,0.977742,0.993271,0.985445,0.828571,0.919176,0.871525,0.486842,0.649123,0.556391,0.777778,0.583333,0.666667
0,cal_extra_trees,0.625868,0.883863,0.886014,0.339645,0.015035,0.023692,0.967916,0.983108,0.972334,0.977691,0.095588,1.0,0.174497,0.0,0.0,0.0,0.657702,0.464594,0.544534,0.745283,0.663335,0.701925,0.655941,0.879425,0.751418,0.979597,0.992217,0.985867,0.814286,0.931373,0.868902,0.473684,0.666667,0.553846,0.777778,0.636364,0.7
0,base_xgboost,0.617984,0.875794,0.879577,0.313966,0.015715,0.014722,0.981176,0.985541,0.957087,0.971105,0.102941,0.875,0.184211,0.017241,0.4,0.033058,0.562347,0.454097,0.502458,0.716532,0.697725,0.707004,0.679868,0.729849,0.703973,0.973238,0.990828,0.981954,0.821429,0.933442,0.87386,0.565789,0.632353,0.597222,0.555556,0.714286,0.625
0,cal_xgboost,0.628279,0.875979,0.879213,0.308947,0.015574,0.004331,0.980679,0.984595,0.959315,0.971791,0.110294,0.833333,0.194805,0.017241,0.4,0.033058,0.579462,0.457088,0.511051,0.746181,0.653423,0.696728,0.610561,0.854503,0.712223,0.974033,0.990836,0.982362,0.812857,0.934319,0.869366,0.644737,0.644737,0.644737,0.666667,0.666667,0.666667
0,base_knn,0.551282,0.856095,0.857351,1.967012,0.019192,0.033609,0.876235,0.970676,0.944138,0.957223,0.191176,0.114537,0.143251,0.025862,0.115385,0.042254,0.518337,0.465423,0.490457,0.697664,0.66767,0.682337,0.541254,0.693446,0.60797,0.972178,0.993501,0.982724,0.815714,0.865152,0.839706,0.407895,0.462687,0.433566,0.222222,0.666667,0.333333
0,cal_knn,0.530361,0.856571,0.863485,0.459631,0.018761,0.043973,0.941602,0.978919,0.937856,0.957948,0.066176,1.0,0.124138,0.008621,0.333333,0.016807,0.5,0.459551,0.478923,0.763702,0.62963,0.690215,0.5,0.768061,0.605697,0.969528,0.995646,0.982414,0.807143,0.895404,0.848986,0.328947,0.568182,0.416667,0.111111,0.5,0.181818
1,p_weighted,0.614757,0.888057,0.890508,0.296858,0.014199,0.033633,0.980294,0.988514,0.975593,0.982011,0.044118,1.0,0.084507,0.051282,0.857143,0.096774,0.619804,0.46049,0.5284,0.747978,0.675731,0.710021,0.693894,0.87422,0.773689,0.980132,0.994891,0.987457,0.818312,0.918138,0.865356,0.64,0.6,0.619355,0.444444,0.571429,0.5
1,p_stack,0.599105,0.881984,0.867067,0.400229,0.017687,0.027001,0.950956,0.955811,0.987435,0.971366,0.544118,0.171694,0.261023,0.589744,0.189041,0.286307,0.671149,0.441318,0.532493,0.575022,0.893855,0.699836,0.709571,0.805243,0.754386,0.980132,0.99623,0.988116,0.855508,0.861671,0.858579,0.933333,0.21148,0.344828,0.555556,0.2,0.294118
1,p_final,0.614757,0.888057,0.890508,0.296858,0.014199,0.033633,0.980294,0.988514,0.975593,0.982011,0.044118,1.0,0.084507,0.051282,0.857143,0.096774,0.619804,0.46049,0.5284,0.747978,0.675731,0.710021,0.693894,0.87422,0.773689,0.980132,0.994891,0.987457,0.818312,0.918138,0.865356,0.64,0.6,0.619355,0.444444,0.571429,0.5
1,base_random_forest,0.611796,0.887831,0.876602,0.424476,0.017069,0.035779,0.960108,0.984595,0.970561,0.977527,0.073529,0.049751,0.059347,0.247863,0.055344,0.090484,0.643032,0.466726,0.540874,0.643306,0.837427,0.727642,0.684818,0.870934,0.766744,0.977748,0.995684,0.986635,0.831187,0.899381,0.863941,0.613333,0.534884,0.571429,0.444444,0.666667,0.533333
1,cal_random_forest,0.596872,0.885162,0.886804,0.322267,0.014981,0.025905,0.976507,0.983378,0.974424,0.978881,0.036765,1.0,0.070922,0.017094,0.051282,0.025641,0.652812,0.459552,0.539394,0.734501,0.67562,0.703831,0.683168,0.878049,0.768445,0.981457,0.99383,0.987605,0.816881,0.923948,0.867122,0.56,0.552632,0.556291,0.444444,0.5,0.470588
1,base_extra_trees,0.608859,0.885335,0.870468,0.675987,0.017019,0.031137,0.940954,0.987568,0.972067,0.979756,0.073529,0.027248,0.039761,0.25641,0.051282,0.08547,0.503667,0.441586,0.470588,0.637916,0.844233,0.726714,0.682343,0.892125,0.773259,0.981457,0.992499,0.986947,0.825465,0.898754,0.860552,0.533333,0.547945,0.540541,0.555556,0.714286,0.625
1,cal_extra_trees,0.616674,0.885536,0.886986,0.329708,0.014752,0.028575,0.961308,0.985811,0.975267,0.980511,0.044118,1.0,0.084507,0.025641,0.065217,0.03681,0.662592,0.455845,0.54011,0.724618,0.678301,0.700695,0.679043,0.88973,0.770239,0.981457,0.991702,0.986553,0.816881,0.910686,0.861237,0.573333,0.589041,0.581081,0.555556,0.714286,0.625
1,base_xgboost,0.609003,0.884642,0.888322,0.287792,0.014272,0.008994,0.979934,0.98973,0.970195,0.979865,0.051471,0.875,0.097222,0.059829,0.875,0.112,0.575795,0.468191,0.516447,0.714735,0.723511,0.719096,0.74505,0.711024,0.727639,0.980397,0.994358,0.987328,0.818312,0.925566,0.868641,0.653333,0.590361,0.620253,0.333333,0.75,0.461538
1,cal_xgboost,0.617006,0.888168,0.89069,0.28049,0.014069,0.006422,0.972884,0.988514,0.972481,0.980432,0.051471,0.875,0.097222,0.051282,0.857143,0.096774,0.629584,0.46147,0.532575,0.751572,0.681744,0.714957,0.676568,0.891304,0.769231,0.980662,0.993826,0.9872,0.822604,0.924437,0.870553,0.666667,0.581395,0.621118,0.444444,0.571429,0.5
1,base_knn,0.543271,0.854292,0.856319,2.029365,0.019365,0.035863,0.856638,0.971757,0.94234,0.956823,0.139706,0.097938,0.115152,0.051282,0.171429,0.078947,0.484108,0.453089,0.468085,0.693621,0.67043,0.681828,0.551155,0.70021,0.616805,0.974305,0.992177,0.98316,0.818312,0.824207,0.821249,0.32,0.352941,0.335664,0.333333,0.428571,0.375
1,cal_knn,0.530757,0.854438,0.861298,0.463217,0.01876,0.047867,0.951731,0.975946,0.938776,0.957,0.051471,1.0,0.097902,0.008547,1.0,0.016949,0.468215,0.444832,0.456224,0.756963,0.63085,0.688176,0.525578,0.773998,0.626044,0.97245,0.993236,0.982733,0.792561,0.848392,0.819527,0.266667,0.37037,0.310078,0.333333,0.375,0.352941
2,p_weighted,0.614886,0.881722,0.884854,0.306147,0.014935,0.031957,0.981976,0.984459,0.965412,0.974843,0.051852,1.0,0.098592,0.034188,0.666667,0.065041,0.589242,0.459048,0.51606,0.753819,0.667728,0.708166,0.661171,0.873638,0.752698,0.981717,0.99383,0.987737,0.796853,0.919142,0.85364,0.586667,0.536585,0.56051,0.666667,0.6,0.631579
