experiment,label,run_id,config,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,ece_mean,ece_std,roc_auc_macro_ovr_mean,roc_auc_macro_ovr_std
multiclass_main,Full system (gated ensemble),20260424_224006_f41741,configs\multiclass_main.yaml,0.6591737999999999,0.017522505577114246,0.8884643999999999,0.0013010297075778164,0.8835812000000001,0.0035234928976798094,0.3085182000000001,0.004019546952083037,0.023323200000000002,0.0030830682282427676,0.9821250000000001,0.004397181313068657
no_calibration,No calibration,20260425_002028_44f098,configs\ablations\no_calibration.yaml,0.6676873999999999,0.014026207962239828,0.8915814,0.002845910539704287,0.8842492,0.005190730892658541,0.309553,0.0160606935560081,0.0193804,0.0010929484434318017,0.9835904,0.0027892756765870016
stacker_only,Stacker only (β = 1.0),20260425_094800_5923a7,configs\ablations\stacker_only.yaml,0.6043198,0.0075128512696578656,0.8802353999999999,0.0015991257924253643,0.8657145999999999,0.0014095395702143328,0.40548220000000007,0.004527400103812342,0.022519400000000002,0.0034016012846893144,0.9718986000000001,0.012700796522265823
no_gate,"No gate (β = 0.5, fixed)",20260425_130147_5da440,configs\ablations\no_gate.yaml,0.6423588,0.007056898518471142,0.8891120000000001,0.0020789484120583737,0.8792935999999999,0.001994224485859068,0.31933559999999994,0.004741876717081544,0.029386000000000002,0.0013368479719100459,0.9813535999999999,0.0059453833181722
weighted_avg_only,Weighted avg only (β = 0.0),20260425_112451_332fcd,configs\ablations\weighted_avg_only.yaml,0.6208138,0.007416756851886148,0.8836076,0.0027088100339447865,0.8864839999999999,0.002370180583837414,0.3053704,0.004893033496717553,0.0336096,0.0009763143960835567,0.9812986,0.0006972924780893562
simplified_meta_features,Simplified meta-features,20260425_052137_809d9d,configs\ablations\simplified_meta_features.yaml,0.6138228,0.02760223469576333,0.8856151999999999,0.0033234158181004382,0.8876256,0.004220973560684811,0.30365739999999997,0.014103349896389877,0.029841,0.002911052215265127,0.9833864,0.001474455933556508
no_engineered_features,No engineered features,20260425_035728_feb59a,configs\ablations\no_engineered_features.yaml,0.6634248000000001,0.011764509688040537,0.8890922,0.0017545861905303977,0.8855729999999999,0.0008604673148935002,0.30773079999999997,0.0036891266852738867,0.0240112,0.004124937720741975,0.9822523999999999,0.002156959271752733
no_feature_selection,No feature selection,20260425_021213_4cd826,configs\ablations\no_feature_selection.yaml,0.651308,0.013992628648684988,0.8898032,0.001835006593993598,0.881419,0.0018538008253315623,0.31063419999999997,0.0025853341563519473,0.0256408,0.0016506001029928477,0.981058,0.005957473835443993
no_stability_weighting,No stability weighting,20260425_064438_dd3195,configs\ablations\no_stability_weighting.yaml,0.6648124,0.011281193677975762,0.888306,0.0022371106365130806,0.8836296000000001,0.000989751888101266,0.3091756,0.0035074360721187815,0.024005199999999997,0.0020391873871716646,0.9812582000000001,0.006706036064621201
single_selector,Single selector (mutual info only),20260425_081214_0653e0,configs\ablations\single_selector.yaml,0.6543332000000001,0.009415200247472165,0.8892192,0.0014303790406741972,0.8820630000000002,0.003825253717075533,0.31065,0.004624392230336883,0.025491999999999997,0.002845182243723589,0.9792791999999999,0.006966753777764779
binary_sanity,Binary sanity check,20260424_221716_dd149d,configs\binary_sanity.yaml,0.9803116666666667,0.001726939585895608,0.9805033333333334,0.0017122716879436647,0.9804936666666667,0.0017155979521243547,0.05645133333333333,0.005171001579320329,0.005142999999999999,0.0019474262502082074,,
